#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10710,-22845.726702661093,2805.1348320015404,-20040.591870659555,148.95354200652446,86.1
10800,-22922.78811354126,2842.9007755532257,-20079.887337988035,150.95892548936692,86
10890,-22734.405323276587,2812.0169349157777,-19922.38838836081,149.31898383621277,86.1
10980,-22747.72746672714,2812.820677927093,-19934.90678880005,149.3616628429516,86
11070,-22914.305111672715,2815.6610374454594,-20098.644074227253,149.51248682688495,86.1
11160,-22955.859834766787,2796.0398480208273,-20159.81998674596,148.47059549608767,85.9
11250,-23055.14572164719,2780.4485189113075,-20274.697202735882,147.64269101571895,86
11340,-23002.59931075736,2790.2758061025143,-20212.323504654843,148.16452305699775,86
11430,-22816.490314998315,2785.5973195527913,-20030.892995445523,147.91609394946929,86.1
11520,-22878.3592344426,2840.1675718697306,-20038.19166257287,150.81379151397388,86
11610,-22801.208544009904,2828.027606968336,-19973.18093704157,150.1691555587719,86.1
11700,-22718.36035181457,2798.626127736473,-19919.734224078096,148.60792776256918,86.2
11790,-22918.803478393907,2786.9711524984887,-20131.83232589542,147.98904491106026,86.3
11880,-22965.636631372356,2876.495773917831,-20089.140857454524,152.74283047069744,86.2
11970,-22812.903389636616,2835.9899888200453,-19976.91340081657,150.5919605398695,86.2
12060,-22516.9931242663,2812.768407266055,-19704.224717000245,149.35888725440742,86.2
12150,-22684.998259763786,2776.311469871237,-19908.68678989255,147.42301241027613,86.2
12240,-22593.479177707763,2805.9944524841476,-19787.484725223614,148.9991881245666,86.1
12330,-22531.954179782886,2820.713491289597,-19711.24068849329,149.78077371538785,86.2
12420,-22789.307701500526,2834.92466344875,-19954.383038051776,150.53539142752822,86.2
12510,-22854.28350327717,2789.076454401424,-20065.207048875745,148.10083710438298,86.2
12600,-22791.64371830749,2794.2465649881724,-19997.397153319318,148.37537160293041,86.2
12690,-22782.01788956423,2794.4864565691364,-19987.531432995096,148.38810992134367,86.2
12780,-23040.705286400538,2840.042854144767,-20200.662432255773,150.80716896354514,86.3
