Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.54519,1.25621,-8.28898,30163.1,-26597.5,5677.75
-9.51964,1.19789,-8.32175,29402.4,-29616,1888.14
-9.58461,1.22792,-8.35669,29629.8,-25331.3,6386.47
-9.49404,1.23377,-8.26027,29425.5,-26868,4633.81
-9.59631,1.21897,-8.37734,29678.5,-28648.7,3137.18
-9.60421,1.21933,-8.38488,29755.9,-28707,3177.61
-9.5813,1.25908,-8.32223,29566.8,-27809.5,3828.95
-9.52992,1.18617,-8.34374,30003.5,-25562.1,6500.36
-9.62438,1.29509,-8.32928,29410.2,-28479.2,2996.53
-9.60602,1.27067,-8.33535,28712,-31358.1,-532.348
-9.57938,1.23795,-8.34144,28919.9,-29287.3,1761.69
-9.57028,1.23899,-8.33129,29387.6,-28313.7,3154.89
-9.58079,1.27191,-8.30889,29834.1,-28851.9,3107.55
-9.60161,1.25243,-8.34918,29373.2,-29209.9,2265.59
-9.65822,1.25985,-8.39837,29140.9,-26785.9,4455.7
-9.55694,1.26026,-8.29668,28660.4,-27887.1,2859.4
-9.56841,1.23074,-8.33767,29306.8,-27719.2,3673.65
-9.5944,1.25209,-8.34231,29684.5,-30179.8,1620.8
-9.66639,1.2656,-8.40079,29119.5,-26557.6,4652.26
-9.65462,1.21982,-8.4348,29412.1,-28572,2930.35
-9.51833,1.26459,-8.25374,29501.6,-25961.6,5610.99
-9.731,1.2972,-8.4338,29967.8,-29514.6,2557.61
-9.62331,1.20483,-8.41848,29721,-24744.4,7038.82
-9.69572,1.25781,-8.43791,29895.5,-28312.8,3715.34
-9.65327,1.24148,-8.41179,30401.6,-28405.1,4071.52
-9.67892,1.24409,-8.43483,29267.4,-28497.3,2883.6
-9.59425,1.1629,-8.43136,29042,-27262,3897.81
-9.5609,1.22663,-8.33427,29387.1,-27300.7,4175.1
-9.5743,1.19525,-8.37905,29331.8,-26714.3,4707.4
-9.61909,1.25564,-8.36345,30025.7,-28682.6,3450.15
-9.70266,1.31021,-8.39246,30448.9,-29151.6,3354.62
-9.77659,1.31657,-8.46001,29431.8,-27995.9,3546.49
-9.72808,1.28087,-8.44721,29495.6,-28248.4,3357.2
-9.67134,1.26212,-8.40921,29248.4,-30339.6,1009.16
-9.69101,1.26867,-8.42234,29672.9,-29417,2319.5
-9.56352,1.17568,-8.38785,29941.2,-26438,5587.13
-9.64461,1.22554,-8.41906,30606.5,-28244.9,4459.15
-9.66902,1.23893,-8.43009,29172.6,-27304.4,3963.94
-9.68447,1.23283,-8.45165,28806.1,-28010.5,2897.22
-9.57955,1.18608,-8.39347,29829.5,-25264.7,6687.71
-9.67603,1.2587,-8.41732,29175.4,-28834.6,2441.68
-9.66273,1.20148,-8.46125,29877,-27322.3,4656.99
-9.72792,1.25471,-8.47322,31517.1,-30465.4,3144.85
-9.63618,1.29366,-8.34253,31593.6,-28569,5128.12
-9.73137,1.26879,-8.46259,31244.1,-29439.5,3923.44
-9.69205,1.23408,-8.45797,30688.5,-26955.9,5812.01
-9.57188,1.24261,-8.32927,30283.5,-27325.6,5077.2
-9.61627,1.22394,-8.39233,29850.7,-29690,2281.91
-9.71085,1.26766,-8.4432,29629.3,-30899.8,826.365
-9.68831,1.27793,-8.41038,30024.1,-29491.8,2663.59
-9.61727,1.18122,-8.43606,29788.8,-24880.6,6963.21
-9.62873,1.21653,-8.41219,28680.6,-26117,4653.14
-9.70353,1.28364,-8.41989,30315.8,-29315.1,3065.81
-9.51851,1.21276,-8.30576,29484.7,-27083.5,4474.25
-9.60691,1.22076,-8.38615,29802.6,-26394.3,5515.01
-9.67435,1.2728,-8.40155,29571.1,-27699.9,3967.64
-9.63878,1.26869,-8.37009,29670.8,-27821.4,3946.27
-9.64454,1.27123,-8.37331,30377.3,-29575.3,2893.49
-9.63029,1.23101,-8.39928,28768.2,-29147,1717.56
-9.49927,1.28124,-8.21803,29262.3,-29047.6,2326.36
-9.535,1.27874,-8.25626,29657.5,-28123.2,3626.7
