Temp,Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
147.615,-9.71043,1.31236,-8.39807,30004,-33582.2,-1488.93
150.61,-9.75143,1.3002,-8.45123,30193.2,-33025.1,-700.224
150.114,-9.64429,1.36785,-8.27644,31191,-33329.8,-14.2416
148.522,-9.63722,1.31378,-8.32344,29973,-32801.5,-726.369
149.214,-9.69979,1.32549,-8.37431,31388.2,-33149.6,350.521
149.508,-9.82457,1.40991,-8.41466,30373.4,-35459,-2969.59
149.784,-9.71985,1.37125,-8.34859,29767.5,-33803.3,-1915.81
150.913,-9.78078,1.41372,-8.36706,29476.9,-33928,-2315.16
150.942,-9.68266,1.38359,-8.29907,30320,-34426.6,-1970.25
148.239,-9.78353,1.41778,-8.36575,30655.1,-33857.1,-1103.87
149.525,-9.77048,1.39762,-8.37287,30153.1,-34762.5,-2493.06
149.086,-9.81683,1.41874,-8.3981,29844.8,-34733,-2778.15
150.766,-9.81497,1.42462,-8.39035,29436.3,-34331.4,-2761.25
149.591,-9.7041,1.32123,-8.38287,29751.7,-32350,-480.991
146.162,-9.79114,1.33153,-8.45961,30714.3,-33898.4,-1115.37
148.683,-9.82468,1.41574,-8.40894,30816.6,-32149,771.933
147.363,-9.77087,1.36721,-8.40366,31254.8,-33016.3,324.201
149.653,-9.79242,1.45523,-8.33719,29863.3,-34673.6,-2692.2
149.877,-9.8606,1.40586,-8.45474,30071.4,-37375.8,-5183.14
147.618,-9.65867,1.36116,-8.29751,31559.3,-30961.2,2687.44
149.238,-9.80334,1.32595,-8.47739,31049.5,-34365.9,-1204.13
147.195,-9.68267,1.27766,-8.40501,30261.4,-33263.7,-918.955
147.253,-9.74485,1.44373,-8.30112,30980.7,-33510.4,-445.61
149.18,-9.73187,1.41242,-8.31945,30364.9,-34005,-1528.7
150.3,-9.81472,1.41026,-8.40446,30871.7,-36294.6,-3295.61
146.135,-9.80498,1.45784,-8.34714,30326.3,-34746.1,-2351.45
148.205,-9.7321,1.30135,-8.43075,29430.5,-32460.7,-932.622
148.937,-9.68299,1.34708,-8.33592,29634.2,-33344.2,-1602.04
152.491,-9.61418,1.34711,-8.26707,29757.5,-31638.4,277.411
150.459,-9.67013,1.32955,-8.34059,30592.7,-32200.3,521.842
150.343,-9.77106,1.39888,-8.37219,30360.8,-37338.5,-4849.87
149.993,-9.76304,1.40672,-8.35632,30638.5,-36068.9,-3307.52
150.474,-9.71202,1.38466,-8.32737,29676.2,-34006.6,-2200.62
148.024,-9.74961,1.40471,-8.3449,29775.6,-33053.6,-1182.99
148.695,-9.68325,1.35244,-8.3308,29595.5,-33698.2,-1998.19
150.888,-9.62188,1.36614,-8.25574,28264.7,-33950.5,-3550.2
150.991,-9.74464,1.45001,-8.29463,30017.1,-34661.7,-2507.55
148.517,-9.6927,1.35506,-8.33764,28968.1,-33007.9,-1937.71
150.53,-9.70262,1.38395,-8.31867,29805.2,-33110.6,-1174.88
151.701,-9.69707,1.37407,-8.323,30545.4,-32218,474.523
148.429,-9.67251,1.33299,-8.33953,29678.1,-33012.8,-1233.95
147.376,-9.73308,1.35157,-8.38152,28661.6,-32283,-1535.59
149.574,-9.72153,1.31539,-8.40613,29866.3,-34127.4,-2144.14
151.47,-9.79448,1.418,-8.37648,30568.3,-34387.2,-1675.1
146.635,-9.67403,1.35251,-8.32153,29462.5,-33479.4,-1941.49
149.852,-9.74847,1.36665,-8.38181,29041,-32103.8,-941.896
151.716,-9.78669,1.43598,-8.35071,30044.7,-34166.5,-1974.52
150.353,-9.82014,1.43458,-8.38556,29698.1,-34875.9,-3049.75
149.766,-9.8105,1.40128,-8.40922,30687.9,-32118.8,688.823
150.594,-9.82479,1.41338,-8.41141,29856.2,-33172.5,-1184.9
150.12,-9.87398,1.41935,-8.45463,30349,-35374.7,-2901.06
147.092,-9.71569,1.34717,-8.36852,29291.8,-32335.3,-961.637
147.895,-9.78312,1.31823,-8.46489,29451.3,-32593.6,-1049.03
149.582,-9.8065,1.40176,-8.40474,29317.3,-34653,-3218.67
149.072,-9.76503,1.42734,-8.33768,29846.8,-35565.8,-3609.08
146.128,-9.79894,1.42682,-8.37212,29489.6,-34578.7,-3020.81
150.329,-9.69992,1.4098,-8.29011,29599.5,-34085.3,-2358.15
149.827,-9.80182,1.3294,-8.47242,29475,-33790.8,-2195.21
147.615,-9.71533,1.37086,-8.34447,28981.6,-34272.4,-3201.54
149.967,-9.75667,1.42663,-8.33004,28499.5,-34442.9,-3820.87
149.56,-9.76414,1.34336,-8.42077,29875.6,-32393.6,-401.201
150.641,-9.84846,1.42547,-8.42299,30447.4,-35520.4,-2940.84
150.147,-9.79808,1.46625,-8.33183,31379.6,-36282.7,-2778.02
149.058,-9.76588,1.45087,-8.31501,29224,-34301.3,-2967.64
149.853,-9.72615,1.40525,-8.3209,30979.9,-34759.8,-1658.89
151.054,-9.83821,1.48952,-8.34869,30400,-36234.5,-3696.59
146.642,-9.65932,1.32715,-8.33217,31264.7,-32002.4,1337.85
149.54,-9.73852,1.38096,-8.35756,30637.7,-32275.4,478.835
150.983,-9.73316,1.4446,-8.28856,29797,-31895.9,38.067
145.152,-9.67268,1.38328,-8.28941,29803.7,-31831.5,26.6168
153.08,-9.7516,1.34996,-8.40163,30958.3,-33818.8,-693.9
146.642,-9.7581,1.28319,-8.47491,30474.2,-33632.3,-1082.56
149.584,-9.79846,1.32839,-8.47006,30746.2,-32849.9,13.4851
149.013,-9.78316,1.30702,-8.47614,31058.9,-34257.3,-1089.28
149.158,-9.86609,1.47061,-8.39548,29300.9,-34120.3,-2708.33
147.206,-9.80044,1.40231,-8.39812,31295.2,-34749.9,-1371.27
150.671,-9.7805,1.40122,-8.37928,30976.8,-32842.8,266.51
149.556,-9.70607,1.33687,-8.3692,30913.1,-32261.9,767.905
147.801,-9.82883,1.4169,-8.41193,31066.9,-33381.7,-222.976
149.222,-9.82905,1.42937,-8.39969,30565.8,-36788,-4110.19
146.706,-9.76727,1.37422,-8.39305,30033,-33942.5,-1833.06
146.952,-9.78037,1.37923,-8.40113,30010.2,-34438.9,-2348.8
147.796,-9.7806,1.37042,-8.41018,30317.3,-32915.9,-506.765
146.476,-9.79051,1.3862,-8.40431,30484.6,-34814.4,-2256.6
149.093,-9.74045,1.45312,-8.28732,30361.1,-34902.4,-2431.09
149.123,-9.73907,1.34202,-8.39705,29924.8,-32104,-68.569
150.921,-9.73609,1.38182,-8.35427,29761.1,-36319,-4421.78
149.426,-9.71727,1.40325,-8.31402,30393.5,-34032.6,-1524.23
146.231,-9.81372,1.36229,-8.45143,30806.8,-34961.2,-2084.72
149.657,-9.84057,1.4281,-8.41247,30566.8,-34117.2,-1432.16
145.328,-9.77773,1.41299,-8.36473,31826.2,-34735.9,-852.794
145.716,-9.77367,1.42294,-8.35073,30878.8,-33746.7,-805.599
150.678,-9.75322,1.38438,-8.36884,31490.8,-32776.2,847.24
149.151,-9.78573,1.42097,-8.36476,30855.6,-33984.8,-1018.19
150.565,-9.69679,1.3516,-8.34519,31039.3,-31619.6,1550.66
146.892,-9.78856,1.40935,-8.37921,30524.7,-35061.9,-2458.17
154.309,-9.81491,1.36599,-8.44892,30615.4,-33585.2,-785.784
149.046,-9.88181,1.40015,-8.48166,29985.2,-35688.5,-3593.83
152.985,-9.83478,1.44872,-8.38606,31031.5,-36316.3,-3119.47
146.092,-9.83686,1.42969,-8.40717,30909.2,-34466.9,-1489.99
149.197,-9.77445,1.41031,-8.36414,30710.7,-33338.5,-516.159
148.736,-9.94082,1.50583,-8.43498,30400.1,-36191.3,-3686.11
149.247,-9.78055,1.41348,-8.36707,31705,-34410.2,-592.756
149.554,-9.78456,1.40314,-8.38142,31412.8,-35637.2,-2107.63
150.54,-9.73478,1.36632,-8.36845,29535.2,-32033.8,-367.935
150.216,-9.81069,1.44769,-8.363,30100.9,-34145.7,-1918.66
148.669,-9.68934,1.31641,-8.37293,30285,-32496.1,-106.905
149.882,-9.74985,1.36173,-8.38812,30343.5,-35945.4,-3480.53
150.042,-9.80248,1.38901,-8.41346,30552,-33100.4,-424.753
150.887,-9.78372,1.36832,-8.4154,31181.4,-33574.9,-257.989
149.522,-9.7947,1.37113,-8.42357,31573.8,-32584,1106.04
149.283,-9.82683,1.40246,-8.42437,30521.9,-32463.7,171.129
149.015,-9.89631,1.4714,-8.42491,29492.8,-33663.1,-2061.24
148.799,-9.78879,1.45004,-8.33875,31233.6,-33052.3,287.366
150.177,-9.77459,1.31637,-8.45823,30747.8,-32366.7,506.694
149.417,-9.83986,1.38328,-8.45657,31678.4,-35207.4,-1414.24
148.042,-9.78565,1.36804,-8.41761,30432,-31954.4,572.915
150.768,-9.92566,1.42445,-8.5012,29763.8,-33871.2,-1973.53
150.878,-9.82285,1.43722,-8.38563,30227.4,-34552,-2189.19
150.42,-9.77678,1.40491,-8.37186,30597,-34570.7,-1844.74
151.484,-9.82576,1.38282,-8.44294,30406.2,-34509.4,-1959.17
149.235,-9.80338,1.42884,-8.37455,31072.8,-32607.2,577.87
148.655,-9.82655,1.3835,-8.44305,30257.7,-33112.3,-750.656
148.772,-9.8549,1.43425,-8.42065,31672.9,-34688.5,-909.969
152.012,-9.72853,1.36766,-8.36086,31691.4,-32231.6,1611.39
149.573,-9.83074,1.36869,-8.46205,30719.1,-33951.5,-1115.45
149.935,-9.72255,1.35051,-8.37204,32363.9,-33048.7,1437.21
150.808,-9.77247,1.43354,-8.33893,30797.9,-33639.9,-707.472
