#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
13140,-22975.299820002198,5578.973862294438,-17396.32595770776,296.24526709742133,81.5
13320,-22937.711975067563,5636.667090382559,-17301.044884685005,299.308795657788,81.6
13500,-22733.547165611817,5650.954081898612,-17082.593083713204,300.0674394016306,81.6
13680,-22601.755886677944,5567.579857326016,-17034.176029351926,295.6402418493211,81.5
13860,-22779.65275165296,5660.013855272307,-17119.638896380653,300.54851621775845,81.6
14040,-22773.735503342454,5701.924534247794,-17071.81096909466,302.7739864554378,81.6
14220,-22611.416112091174,5537.708530540034,-17073.70758155114,294.054065000192,81.7
14400,-22746.35576652395,5681.502452222208,-17064.85331430174,301.6895674755885,81.6
14580,-22667.211621644004,5612.658461102441,-17054.553160541564,298.0339298904824,81.6
14760,-22447.89360173799,5480.967086998689,-16966.9265147393,291.0410764986675,81.7
14940,-22621.059017728883,5708.77393632564,-16912.285081403243,303.1376918604268,81.8
15120,-22498.20351679923,5514.859597479107,-16983.343919320123,292.84077946693776,81.7
15300,-22802.884762834903,5796.865705380772,-17006.01905745413,307.8153925087839,81.7
15480,-22811.533897380155,5652.173999030759,-17159.359898349398,300.13221738510396,81.8
15660,-22788.63314145789,5662.880995456753,-17125.752146001134,300.7007622634851,81.8
15840,-22682.714161525917,5511.454625745028,-17171.25953578089,292.65997439673686,81.7
16020,-22744.539055905043,5576.579808690602,-17167.959247214443,296.11814209794653,81.8
16200,-23077.073079468828,5952.607995640262,-17124.465083828567,316.0853571143022,81.8
16380,-22655.018585712824,5539.011038736839,-17116.007546975983,294.12322859517974,81.9
16560,-22903.727416115755,5759.527559428406,-17144.199856687348,305.83272521304,81.8
16740,-22894.381684719716,5790.194373833459,-17104.187310886256,307.4611427049828,81.8
16920,-22825.78428609314,5737.515032512887,-17088.269253580256,304.66385310922,81.9
17100,-22753.196186994872,5634.883814417193,-17118.31237257768,299.2141031430518,81.9
17280,-22759.069702174136,5560.3031583132215,-17198.766543860915,295.253846842669,81.8
17460,-22904.725515792423,5635.929567583895,-17268.795948208528,299.26963296517215,81.9
17640,-22763.476073741855,5550.705010112694,-17212.77106362916,294.74418215387686,81.9
17820,-22922.640474304615,5636.424898359352,-17286.215575945265,299.29593518516793,82
18000,-23044.327055120957,5697.882125327251,-17346.444929793706,302.5593332701133,81.9
18180,-22850.031522213947,5644.275851373239,-17205.755670840706,299.71282325992433,81.9
18360,-22861.182619154846,5550.879851142082,-17310.302768012763,294.7534662675381,82
18540,-22890.865868994268,5600.366476428957,-17290.49939256531,297.38122163756077,82
18720,-22902.75959261536,5659.832858491126,-17242.926734124234,300.5389052317405,81.9
18900,-22830.22231696153,5655.801665456078,-17174.420651505454,300.3248476134641,82
19080,-22847.369760401372,5612.4833723871,-17234.886388014274,298.02463262461913,82
19260,-22972.582170825175,5717.913677702727,-17254.668493122448,303.62301500269064,82.1
19440,-22908.191332623275,5529.864898731248,-17378.326433892027,293.6375656837296,82
19620,-22967.411947009503,5653.648946897038,-17313.763000112463,300.2105375807861,82
19800,-22744.598241892934,5544.76204181641,-17199.836200076526,294.42860866783076,82.1
19980,-22894.26549811999,5582.815980293607,-17311.449517826382,296.4492847718142,82.1
20160,-22993.78964157634,5701.964750755422,-17291.824890820917,302.77612196464395,82
20340,-22839.857939286652,5562.185146471905,-17277.67279281475,295.3537810059229,82.1
20520,-22939.12119880464,5651.238069034317,-17287.883129770325,300.08251920787205,82.1
20700,-22917.22599065423,5640.247175312809,-17276.978815341423,299.4988992937919,82.1
20880,-22954.70687617935,5614.786889270138,-17339.91998690921,298.1469500957389,82
21060,-22962.613135822903,5588.8964535576615,-17373.716682265243,296.77215981490457,82.1
21240,-22797.471800151834,5513.827525273021,-17283.644274878814,292.7859761081297,82.1
